,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0027531,Chris Ivory,RB,BUF,6.3,7.8,6.2,5.4,4.1,22.7,8.7,,13.3,0.6,0.6,-2.6,2.5,4.8,4.2,
00-0027656,Rob Gronkowski,TE,NE,5.3,23.6,22.9,12.0,,26.3,8.1,16.7,,11.4,6.6,25.2,23.7,,27.8,17.7
00-0027675,Ed Dickson,TE,SEA,,4.6,1.8,9.2,22.5,7.6,4.8,6.4,,12.3,,2.5,3.8,,,
00-0027685,Emmanuel Sanders,WR,DEN,5.6,24.2,14.5,6.7,,12.6,,,4.0,19.7,3.5,4.2,3.1,2.6,13.8,
00-0027688,Colt McCoy,QB,WAS,,,,,,,,,,,,,,,,
00-0027690,Eric Decker,WR,NE,4.0,6.2,8.9,3.3,7.4,15.8,,,11.1,3.9,6.7,5.3,5.7,8.6,11.3,13.3
00-0027691,Andre Roberts,WR,NYJ,0.0,0.0,2.2,0.0,,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
00-0027696,Jimmy Graham,TE,GB,3.8,1.1,14.2,10.1,15.7,,14.1,19.9,10.9,20.7,20.8,12.4,11.6,,0.9,7.3
00-0027732,Michael Hoomanawanui,TE,NO,,1.8,,2.3,,10.7,,,,1.4,,,1.0,,,
00-0027793,Antonio Brown,WR,PIT,29.2,11.2,27.0,7.4,25.7,29.5,16.5,12.0,,7.7,42.4,40.9,24.1,32.3,4.4,
00-0027796,Joe Webb,QB,HOU,,,,,,,,,,,,,2.7,2.1,,
00-0027854,Sam Bradford,QB,ARI,25.54,,,,1.44,,,,,,,,,,,
00-0027873,Jermaine Gresham,TE,ARI,4.5,,9.7,3.2,3.6,5.2,2.8,,10.3,17.4,2.0,3.3,3.7,4.7,,1.4
00-0027874,Demaryius Thomas,WR,DEN,11.7,13.1,15.8,2.1,,21.3,2.9,11.6,21.0,15.4,17.4,6.8,4.7,23.3,11.9,9.2
00-0027891,Golden Tate,WR,DET,21.4,6.5,18.8,6.1,9.8,22.6,,13.6,18.3,21.7,6.2,6.0,14.9,22.5,6.3,4.4
00-0027925,James Develin,RB,NE,,1.6,,3.4,,,,,,3.6,,,,1.2,,
00-0027939,Cam Newton,QB,CAR,13.14,11.82,8.28,33.04,26.2,20.66,7.44,12.56,20.08,35.66,,17.52,20.42,14.48,31.48,15.6
00-0027942,A.J. Green,WR,CIN,12.4,11.7,27.1,17.3,29.9,,7.1,11.7,1.6,22.5,15.0,11.6,26.7,9.4,5.0,14.1
00-0027944,Julio Jones,WR,ATL,10.6,15.8,16.1,6.0,,13.2,24.9,10.4,17.8,11.7,12.1,50.8,4.4,14.8,8.4,21.9
00-0027948,Blaine Gabbert,QB,TEN,,,,,,,,,,,19.58,17.34,10.04,8.32,6.36,
00-0027966,Mark Ingram,RB,NO,12.1,11.6,10.6,10.2,,30.0,21.0,17.9,8.9,31.1,24.5,5.6,24.2,13.2,32.1,15.6
00-0027973,Andy Dalton,QB,CIN,-3.0,9.46,16.28,28.34,13.32,,10.4,18.72,5.34,14.6,18.56,19.16,19.26,7.64,0.52,11.42
00-0027981,Kyle Rudolph,TE,MIN,11.6,8.5,1.4,5.4,16.5,9.7,9.3,14.7,,8.7,10.8,22.3,13.6,13.1,9.7,1.6
00-0027985,Lance Kendricks,TE,GB,3.8,,13.2,1.0,3.4,,,,5.2,1.9,1.5,,2.1,3.1,1.5,7.6
00-0027994,Shane Vereen,RB,NO,14.1,8.5,4.3,3.5,8.5,0.4,3.6,,4.4,7.8,3.8,3.7,4.0,7.7,8.0,0.0
00-0027996,Torrey Smith,WR,CAR,4.0,10.6,6.9,1.9,15.7,1.6,,,2.1,,11.8,7.0,7.9,16.0,3.7,1.5
00-0027997,Greg Little,WR,ARI,,,,,,,,,,,,,,,,
00-0028002,Randall Cobb,WR,GB,17.5,13.0,,14.4,6.9,5.8,3.5,,10.9,9.0,6.4,15.8,,11.9,21.4,5.6
00-0028011,Stevan Ridley,RB,PIT,,,,,,,,,,,,,,,,2.8
00-0028042,Luke Stocker,TE,TEN,,,,,,1.5,,,9.3,,,,,,,
00-0028063,Taiwan Jones,RB,BUF,,,,0.0,,,2.1,,,,,,,,,
00-0028064,Bilal Powell,RB,NYJ,8.9,1.3,9.7,29.0,7.3,,10.3,9.1,7.4,2.6,,5.6,13.0,3.5,10.4,20.5
00-0028074,Anthony Sherman,RB,KC,,0.0,2.1,,,,,0.0,,,2.1,1.4,,,,
00-0028083,Jacquizz Rodgers,RB,TB,,12.7,1.5,12.8,2.5,1.7,2.1,0.6,,1.2,0.3,4.7,2.5,0.0,0.0,0.2
00-0028087,Dion Lewis,RB,TEN,0.9,3.5,4.7,9.7,8.3,11.2,9.2,7.4,,17.5,18.8,12.3,9.2,11.7,15.0,32.3
00-0028091,Jeremy Kerley,WR,BUF,,4.4,9.2,8.7,7.9,14.1,1.7,-0.3,0.0,,,,,,,
00-0028093,Niles Paul,TE,JAC,,,0.7,,,-0.1,4.2,,,,3.6,4.6,4.2,2.5,2.1,0.0
00-0028097,Lee Smith,TE,OAK,,1.9,,3.5,,,,3.1,,,,2.2,,,1.3,3.6
00-0028112,Charles Clay,TE,BUF,15.3,5.3,15.9,16.2,5.1,,,,,3.3,5.7,10.0,5.0,3.1,11.8,7.7
00-0028114,Dwayne Harris,WR,OAK,0.0,0.0,0.0,,0.0,,,,,,,,,,,
00-0028116,Aldrick Robinson,WR,SF,1.7,,4.3,8.2,1.5,14.6,2.5,,3.8,2.2,,1.8,,4.7,1.3,2.2
00-0028118,Tyrod Taylor,QB,CLE,18.76,10.5,17.82,12.48,8.94,,20.02,16.7,26.9,2.94,18.12,14.02,3.8,,23.16,12.84
00-0028142,Virgil Green,TE,SD,5.4,9.1,4.8,,,3.4,1.7,2.6,,,3.3,2.6,4.6,,,
