,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0031025,Michael Campanaro,WR,TEN,0.2,0.5,2.0,6.5,1.8,11.4,8.0,,,,0.0,,0.0,1.8,2.7,11.0
00-0031035,Xavier Grimble,TE,PIT,,,,,,,2.2,,,,,7.1,1.9,,1.8,0.0
00-0031042,Jace Amaro,TE,KC,,,,,,,,,,,,,,,,
00-0031045,Carlos Hyde,RB,CLE,13.7,17.3,24.4,14.5,2.8,24.5,12.8,8.7,21.5,12.4,,13.8,9.6,13.8,5.9,16.3
00-0031051,John Brown,WR,BAL,8.2,,,7.7,10.6,15.3,1.6,,6.2,4.7,4.8,,,,,10.8
00-0031060,De'Anthony Thomas,WR,KC,1.2,0.0,2.4,0.0,8.0,15.1,1.2,0.0,7.1,,3.1,,0.0,0.0,2.6,
00-0031062,James White,RB,NE,9.8,17.6,3.8,15.4,13.0,8.5,15.7,13.7,,10.8,1.3,2.5,9.0,10.1,2.8,
00-0031064,Tom Savage,QB,NO,-1.52,,,,,,,,10.76,4.84,13.5,4.08,16.5,2.52,,
00-0031068,Ryan Grant,WR,IND,10.1,8.1,6.1,9.6,,6.9,4.9,8.8,6.9,5.5,14.9,1.3,18.6,3.8,4.0,12.5
00-0031075,Alfred Blue,RB,HOU,,,,1.2,,,,2.1,,1.0,,4.6,1.9,,5.5,10.8
00-0031076,David Fales,QB,MIA,,,,,,,,,,,,,0.0,,,
00-0031085,Jay Prosch,RB,HOU,,,,,,2.8,,,1.1,,,,,,1.3,
00-0031102,Kapri Bibbs,RB,WAS,,,,,,,,,,,,,,,15.3,7.4
00-0031118,Corey Brown,WR,DEN,,,,,,,,,,,,,,,,
00-0031121,Marcus Lucas,TE,DET,,,,,,,,,,,,,,,,
00-0031158,George Atkinson,RB,NYJ,,,,,,,,,,,,,,,,
00-0031166,Seth Roberts,WR,OAK,8.9,,4.0,8.9,5.4,6.5,2.5,,4.8,,6.6,4.6,9.6,5.4,8.2,5.3
00-0031167,Scott Simonson,TE,NYG,,,,,,,,,,,,,,,,
00-0031189,T.J. Jones,WR,DET,5.2,,9.3,8.3,3.2,6.3,,12.8,4.9,1.2,9.5,0.0,0.0,5.6,11.6,
00-0031209,Senorise Perry,RB,MIA,,,,,,,,,,0.0,,,2.2,0.0,,0.0
00-0031228,Taylor Gabriel,WR,CHI,6.6,4.1,18.9,,,7.9,3.9,0.7,8.9,10.3,2.7,4.6,2.1,2.9,3.9,4.2
00-0031235,Odell Beckham,WR,NYG,,7.6,28.9,16.0,21.5,,,,,,,,,,,
00-0031236,Brandin Cooks,WR,LA,11.8,6.3,32.1,7.2,13.5,15.3,16.5,7.6,,13.4,26.9,21.4,4.2,4.8,16.0,4.5
00-0031237,Teddy Bridgewater,QB,NYJ,,,,,,,,,,,,,,,-2.3,
00-0031257,Paul Richardson,WR,WAS,9.9,9.9,11.0,9.5,6.5,,14.1,28.5,7.1,5.3,10.6,11.0,2.8,16.2,3.8,4.1
00-0031260,Logan Thomas,TE,BUF,,,,,1.3,,9.2,1.7,4.5,,,,3.0,,,
00-0031273,Cameron Brate,TE,TB,,4.4,13.3,18.0,17.8,19.6,12.0,10.4,1.9,2.0,2.2,1.6,17.9,2.1,8.9,4.3
00-0031280,Derek Carr,QB,OAK,18.68,21.2,5.22,9.72,,6.84,30.18,12.52,13.7,,13.48,15.82,15.38,10.44,17.54,5.9
00-0031285,Devonta Freeman,RB,ATL,11.9,24.0,22.8,15.8,,9.9,12.0,7.1,10.4,0.3,,,9.1,15.1,30.4,5.6
00-0031288,AJ McCarron,QB,BUF,,,,,,,,,,,,,,1.88,0.76,
00-0031291,James Wright,WR,IND,,,,,,,,,,,,,,,,
00-0031301,Jeremy Hill,RB,NE,3.4,2.9,3.9,3.6,1.6,,0.7,1.1,,,,,,,,
00-0031325,Sammy Watkins,WR,KC,10.8,5.0,28.6,2.7,,2.1,7.2,,13.7,12.1,6.6,18.2,12.8,11.1,3.4,12.0
00-0031326,Bruce Ellington,WR,HOU,,,15.8,8.7,5.0,4.2,,2.3,5.2,14.1,12.8,5.9,1.7,,,
00-0031332,Fitzgerald Toussaint,RB,PIT,,,,,,,,,,,,,,0.0,0.3,
00-0031339,Donte Moncrief,WR,JAC,6.0,3.8,6.4,12.0,6.2,11.7,5.0,,1.7,13.0,,2.6,8.7,,,
00-0031344,Cody Latimer,WR,NYG,0.0,4.2,0.0,,,,,3.5,7.1,5.8,3.1,13.8,1.5,5.7,17.0,
00-0031345,Jimmy Garoppolo,QB,SF,,,,,,,,,,,,5.12,10.52,15.06,19.64,21.98
00-0031359,Kelvin Benjamin,WR,BUF,3.5,13.7,2.8,14.4,15.8,18.9,9.5,12.9,,7.2,3.0,,,12.8,4.0,12.0
00-0031373,Martavis Bryant,WR,OAK,3.4,18.8,5.0,7.8,8.4,4.7,1.5,,,8.3,5.0,14.1,8.0,9.3,15.9,9.8
00-0031375,Terrance West,RB,NO,14.0,12.5,0.6,-0.7,1.7,,,,,,,,,,,
00-0031376,Jerick McKinnon,RB,SF,6.7,5.5,2.4,-2.0,26.6,24.9,8.7,26.2,,6.7,11.0,6.4,16.2,7.5,20.8,6.1
00-0031381,Davante Adams,WR,GB,7.7,23.9,9.0,9.3,25.6,16.4,3.2,,12.3,20.0,20.6,19.2,8.2,30.4,16.7,
00-0031382,Jarvis Landry,WR,CLE,,20.1,10.8,10.0,15.4,20.2,22.3,8.3,15.2,15.2,19.5,15.0,11.2,24.6,19.9,8.1
00-0031384,Richard Rodgers,TE,PHI,,4.2,,,2.6,,,,1.5,1.8,1.3,3.5,1.4,,17.7,
00-0031387,Eric Ebron,TE,IND,2.9,15.2,2.9,4.7,1.6,1.9,,7.8,6.5,11.9,8.9,7.4,7.8,17.4,14.3,19.3
00-0031390,Charles Sims,RB,TB,,0.9,2.3,3.1,8.4,8.5,3.5,,3.1,12.0,5.8,5.9,7.1,4.7,4.6,2.9
00-0031395,Garrett Gilbert,QB,CAR,,,,,,,,,,,,,,,,
00-0031407,Blake Bortles,QB,JAC,10.3,9.82,27.56,11.4,2.7,13.54,16.3,,16.36,16.32,8.56,22.6,25.06,18.62,25.04,22.38
00-0031408,Mike Evans,WR,TB,,22.3,13.7,17.7,9.9,18.5,21.8,11.0,2.3,,14.2,13.8,5.3,4.5,18.9,16.7
00-0031418,Austin Seferian-Jenkins,TE,JAC,,,8.1,8.6,14.9,16.6,11.1,7.8,4.0,12.7,,4.7,2.7,1.1,3.3,6.1
00-0031428,Allen Robinson,WR,CHI,2.7,,,,,,,,,,,,,,,
00-0031431,Marqise Lee,WR,JAC,0.0,14.6,10.5,3.8,6.9,15.0,11.2,,21.5,19.5,9.5,2.3,21.6,11.5,,
00-0031462,Jerome Cunningham,TE,TEN,,,,,,,,,,,,,,,,
00-0031484,Chris Manhertz,TE,CAR,,,,,,,2.1,,,,,,,1.6,,
00-0031503,Jameis Winston,QB,TB,,12.46,15.52,26.48,18.46,2.44,23.36,3.7,3.48,,,,18.6,14.4,25.76,13.28
00-0031504,Dres Anderson,WR,IND,,,,,,,,,,,,,,,,
00-0031511,DeAndrew White,WR,HOU,,,,,,,,,,,,,,3.4,,
00-0031531,Trey Williams,RB,DAL,,,,,,,,,,,,,,,,
00-0031544,Amari Cooper,WR,OAK,17.2,7.3,1.6,2.9,1.8,7.8,44.0,10.2,9.8,,11.8,7.9,,,,15.6
00-0031545,Kevin White,WR,CHI,2.6,,,,,,,,,,,,,,,
00-0031547,DeVante Parker,WR,MIA,,12.5,21.6,12.9,1.6,,,,12.6,12.6,6.6,1.5,1.5,8.0,14.9,11.3
00-0031549,Nelson Agholor,WR,PHI,20.6,7.9,4.0,8.8,19.3,15.5,14.5,5.6,5.6,,0.8,12.2,27.1,14.4,18.9,7.5
00-0031558,Maxx Williams,TE,BAL,1.5,6.3,,,,-0.4,,,5.9,,2.6,2.2,1.1,,0.4,8.6
00-0031568,Bryce Petty,QB,MIA,,,,,,,,,,,,,,1.26,8.76,6.06
00-0031569,Jeremy Langford,RB,MIA,,,,,,,,,,,,,,,,
00-0031570,Justin Hardy,WR,ATL,,2.9,,9.2,,6.4,4.1,,4.6,8.7,5.7,,,,11.3,2.0
00-0031577,Javorius Allen,RB,BAL,7.1,21.1,7.8,10.4,18.5,9.6,12.9,6.7,19.5,,2.7,8.7,3.6,19.7,8.4,5.7
00-0031585,MyCole Pruitt,TE,HOU,,,,,,,,,,,,,,,,
00-0031588,Stefon Diggs,WR,MIN,27.7,5.1,37.3,14.8,1.4,,,6.6,,17.8,7.2,12.5,5.7,12.4,14.7,17.3
00-0031589,Brett Hundley,QB,GB,,,,0.0,,4.58,11.88,,18.0,14.08,3.46,22.4,7.96,25.7,,6.0
00-0031590,Jay Ajayi,RB,PHI,,14.6,4.5,6.4,7.9,13.0,10.7,8.1,13.7,,11.1,4.3,7.6,9.0,10.9,13.3
00-0031598,Nick Boyle,TE,BAL,2.4,1.9,3.4,8.6,1.9,5.5,3.2,6.9,,,1.2,1.9,2.1,1.1,1.9,3.9
00-0031599,Cameron Artis-Payne,RB,CAR,,,,,,,,2.0,0.3,12.8,,0.0,,,,
00-0031609,A.J. Derby,TE,MIA,6.4,,1.5,17.5,,2.0,10.6,10.1,2.1,1.2,,,,,,2.1
00-0031610,Darren Waller,WR,BAL,,,,,,,,,,,,,,,,
00-0031645,Rasheed Bailey,WR,CAR,,,,,,,,,,,,,,,,
00-0031665,Zach Zenner,RB,DET,,,0.5,0.0,7.1,0.0,,,,,,0.6,0.4,0.0,,
00-0031684,Shane Wynn,WR,JAC,,,,,,,,,,,,,,,,
00-0031687,Raheem Mostert,RB,SF,,,-0.9,,0.3,1.6,0.0,,,,,,,,,
00-0031690,Eric Tomlinson,TE,NYJ,4.5,,,,4.4,,3.6,9.0,1.6,,,,,,,
00-0031697,Jordan Taylor,WR,DEN,,,,0.0,,5.6,1.7,1.8,,,2.4,0.0,,0.0,0.0,3.2
00-0031711,Gannon Sinclair,TE,PHI,,,,,,,,,,,,,,,,
00-0031731,Corey Grant,RB,JAC,,1.3,10.3,1.4,,,4.6,,1.8,11.6,,0.0,0.0,-2.0,12.9,0.0
00-0031744,Matt LaCosse,TE,DEN,,,,,,,,,,,,,,,,
00-0031757,Lucky Whitehead,WR,NYJ,,,,,,,,,,,,,,,,
00-0031763,DeAndre Carter,WR,PHI,,,,,,,,,,,,,,,,
00-0031768,Terrence Magee,RB,ATL,,,,,,,,,,,,,,,,
00-0031782,Eli Rogers,WR,PIT,3.1,8.3,-2.0,,,,2.0,,,1.2,,5.1,1.4,6.3,8.8,1.6
00-0031787,Jake Kumerow,WR,GB,,,,,,,,,,,,,,,,
00-0031788,Matt Lengel,TE,HOU,,,,,,,,,,,,,,,,
00-0031800,Taylor Heinicke,QB,CAR,,,,,,,,,,,,,,,,0.6
00-0031801,Jordan Leslie,WR,DEN,,,3.6,,,,,,,,,,,,,
00-0031806,Malcolm Brown,RB,LA,7.6,0.6,,2.4,4.9,1.7,6.5,,5.7,,,,,0.5,4.5,0.4
00-0031818,Bradley Marquez,WR,DET,,,,,,,,,,,,,,,,
00-0031864,Wes Saxton,TE,SF,,,,,,,,,,,,,,,,
00-0031868,Damiere Byrd,WR,CAR,,,0.0,1.2,,,,,,,,,2.2,8.7,17.5,10.1
00-0031884,Gabe Holmes,TE,ARI,,,,,,,,,,,,,,,,
00-0031897,Thomas Rawls,RB,NYJ,,0.4,,,5.5,,4.2,-0.1,9.0,5.9,,,0.4,,,2.0
00-0031900,Rod Smith,RB,DAL,,0.8,,,2.8,,7.6,,,6.9,1.1,12.8,8.7,33.0,12.4,6.3
00-0031912,Cameron Meredith,WR,NO,,,,,,,,,,,,,,,,
00-0031922,Khari Lee,TE,BUF,,,,,,,,,,,,,,,,
00-0031939,Matt Jones,RB,PHI,,,0.3,1.1,,,,,,,,,,,,
00-0031941,Jamison Crowder,WR,WAS,2.4,8.7,9.2,0.3,,5.6,5.1,22.5,,12.1,14.6,27.1,9.7,6.4,16.5,14.7
00-0031951,James O'Shaughnessy,TE,JAC,2.8,,2.2,,,3.1,,,1.6,,2.2,1.7,3.9,,2.5,14.9
00-0031953,Geremy Davis,WR,SD,,,,,,,,,,,,,,,,
00-0031959,Marcus Murphy,RB,BUF,,,,,,,,,,,,,,,,
00-0031972,Darius Jennings,WR,TEN,,,,,,,,,,,,,,,,
00-0031996,Manasseh Garner,TE,WAS,,,,,,,,,,,,,,,,
00-0032004,Will Tye,TE,NE,6.4,1.4,,,,,,,,,,,,,,
00-0032006,Tim Semisch,TE,TEN,,,,,,,,,,,,,,,,
00-0032009,Adam Humphries,WR,TB,,3.8,12.8,13.0,8.1,11.1,1.3,6.6,3.4,3.7,3.1,7.8,7.3,5.5,15.9,8.1
00-0032048,Mack Brown,RB,MIN,,,2.7,,,2.3,,,,,,,,0.0,,
00-0032054,Breshad Perriman,WR,BAL,1.5,,,1.6,3.5,,,,5.8,,,,,,1.9,3.4
00-0032055,Devin Funchess,WR,CAR,4.0,10.8,9.8,26.0,18.3,6.6,8.1,3.1,13.6,26.2,,17.8,16.0,14.9,2.9,4.1
00-0032058,Tevin Coleman,RB,ATL,9.8,12.5,11.9,18.4,,10.6,1.6,11.4,9.4,15.8,12.8,21.7,7.9,3.2,,15.2
00-0032062,Blake Bell,TE,MIN,,,,2.2,,,,,,,,,,4.7,,
00-0032063,Mike Davis,RB,SEA,,,,,,,,,,,7.9,,14.1,7.5,5.9,8.3
00-0032064,DeAndre Smelter,WR,JAC,,,,,,,,,,,,,,,,
00-0032068,Malcolm Johnson,RB,SF,,,,,,,,,,,,,,,,
00-0032089,Brian Parker,TE,DEN,,,,,,,,,,,,,,,,
00-0032098,Daniel Brown,TE,CHI,,,,,,,,1.9,,4.3,4.3,4.0,2.3,2.9,6.2,
00-0032104,Ameer Abdullah,RB,DET,7.1,8.6,11.6,19.9,4.4,5.4,,6.8,10.7,12.5,11.5,7.3,,,5.1,3.6
00-0032112,J.J. Nelson,WR,ARI,15.3,23.0,,6.4,11.4,1.6,5.5,,2.5,2.7,2.4,2.4,6.2,4.6,6.3,
00-0032115,Kaelin Clay,WR,BUF,,0.0,3.8,,0.0,,,0.0,0.0,1.5,,8.9,0.3,0.0,0.0,4.4
00-0032117,Nick O'Leary,TE,BUF,3.2,,4.1,,10.4,,7.8,1.5,7.1,7.7,1.8,3.8,,1.9,5.3,
00-0032120,Neal Sterling,TE,NYJ,,1.8,,,,,,,,,,,,,,
00-0032123,Tre McBride,WR,NYJ,,,,,2.8,,,12.2,,,3.4,4.0,,,,
00-0032128,Chris Conley,WR,KC,6.3,9.5,,5.1,7.6,,,,,,,,,,,
00-0032134,C.J. Uzomah,TE,CIN,,,,2.1,3.1,,1.7,,,,,,3.1,,6.4,7.1
00-0032135,Jesse James,TE,PIT,22.1,6.7,3.9,7.0,5.4,,,6.2,,,13.1,6.2,2.3,19.7,2.7,
00-0032139,Ben Koyack,TE,JAC,,,,,,3.1,1.7,,,,,,,,1.0,5.0
00-0032141,Geoff Swaim,TE,DAL,,,,,,,1.7,2.8,,,,,,,,
00-0032144,Melvin Gordon,RB,SD,18.9,20.8,13.9,3.9,34.3,36.0,5.4,20.9,,9.2,14.0,11.8,14.6,15.3,28.9,21.8
00-0032148,Garrett Grayson,QB,ATL,,,,,,,,,,,,,,,,
00-0032156,Trevor Siemian,QB,MIN,22.66,22.64,7.56,11.26,,15.94,5.68,7.92,,,,14.86,3.6,13.3,0.68,
00-0032160,Tyrell Williams,WR,SD,10.4,9.4,3.5,22.5,3.2,3.7,2.1,3.4,,6.9,2.1,13.8,1.8,23.2,6.1,10.0
00-0032166,Sammie Coates,WR,HOU,,,,,,2.1,,3.3,,5.8,,,,,1.8,
00-0032170,Rashad Greene,WR,JAC,,,,,,,,,,,,,,,,
00-0032187,David Johnson,RB,ARI,23.2,17.3,26.1,14.4,33.5,34.8,25.1,17.8,,27.1,35.0,30.1,38.5,17.1,26.8,33.6
00-0032188,Vince Mayle,TE,BAL,,,,,6.2,,0.0,,,,,,0.0,,,
00-0032200,Ty Montgomery,RB,GB,19.3,29.0,13.0,2.8,,4.1,2.5,,6.1,14.8,,,,,,
00-0032208,Phillip Dorsett,WR,NE,,10.5,,2.7,,,,,,3.6,,4.9,,,1.4,3.4
00-0032209,T.J. Yeldon,RB,JAC,,,,,,,21.7,,5.2,11.0,3.0,10.2,4.5,0.9,9.2,20.7
00-0032211,Tyler Lockett,WR,SEA,1.8,12.4,5.0,13.1,6.3,,8.4,17.9,3.0,2.6,7.7,0.2,9.7,20.0,2.8,1.9
00-0032214,Tyler Kroft,TE,CIN,1.5,,5.8,24.8,7.8,,12.3,9.6,9.9,1.4,9.2,10.4,5.0,,2.1,1.3
00-0032227,Jeff Heuerman,TE,DEN,3.0,2.5,,,,10.4,,2.1,,1.4,,,,1.5,12.4,
00-0032241,Todd Gurley,RB,LA,20.6,26.6,37.9,34.5,5.0,13.0,25.4,,24.4,19.6,14.6,16.8,21.8,28.5,45.0,49.6
00-0032245,Sean Mannion,QB,LA,-0.22,,,,,,-0.1,,-0.1,,,,,,0.46,
00-0032250,Kasen Williams,WR,IND,,,2.0,,7.3,8.1,,,,,,,,,,
00-0032256,Clive Walford,TE,NYJ,,1.7,0.9,,,,,,,,1.4,,9.7,3.3,,
00-0032257,Duke Johnson,RB,CLE,4.0,11.0,22.4,21.0,17.3,6.9,13.1,8.3,,14.8,16.6,10.7,3.2,14.9,15.3,17.1
00-0032268,Marcus Mariota,QB,TEN,18.84,13.0,19.7,15.74,,14.24,8.92,,15.32,17.66,14.74,7.76,18.3,3.46,18.04,11.4
00-0032319,Ross Travis,TE,IND,,,,,4.6,,1.3,,1.3,,2.1,,,,5.3,
00-0032341,Moritz Boehringer,TE,CIN,,,,,,,,,,,,,,,,
00-0032351,Mekale McKay,WR,DAL,,,,,,,,,,,,,,,,
00-0032355,Chester Rogers,WR,IND,,,,,,,4.1,2.9,2.7,22.7,,6.4,7.3,2.6,0.7,2.9
00-0032358,Tevaun Smith,WR,JAC,,,,,,,,,,,,,,,,
00-0032362,Maurice Harris,WR,WAS,,,,,,,,,,13.0,,3.2,0.0,,0.0,
00-0032365,DeMarcus Ayers,WR,CHI,,,,,,,,,,,,,,,,
00-0032371,Rob Kelley,RB,WAS,3.0,7.8,,2.3,,,5.0,7.9,13.8,3.4,,,,,,
00-0032377,Josh Ferguson,RB,IND,,,,,,,0.5,,,,,,4.6,0.0,,
00-0032385,Sterling Shepard,WR,NYG,12.0,5.0,26.3,10.4,1.9,,,,12.0,25.2,,,8.6,2.7,30.9,9.5
00-0032392,Austin Hooper,TE,ATL,20.8,2.7,1.9,10.0,,11.8,1.6,14.7,6.6,16.9,1.9,6.8,5.1,4.3,3.2,4.8
00-0032393,C.J. Prosise,RB,SEA,1.1,5.2,10.4,,,,,,,0.3,,,,,,
00-0032394,Nick Vannett,TE,SEA,2.0,,,,2.3,,2.2,1.8,,4.2,,10.9,7.0,,,
00-0032398,Chris Moore,WR,BAL,,,,,,7.4,11.1,0.0,2.6,,0.0,6.7,5.8,13.8,,4.9
00-0032404,Tyler Ervin,RB,HOU,6.6,4.6,1.8,0.0,,,,,,,,,,,,
00-0032411,Kenneth Dixon,RB,BAL,,,,,,,,,,,,,,,,
00-0032423,Trevor Davis,WR,GB,0.0,1.9,0.0,0.0,,0.0,0.0,,2.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0
00-0032426,Alex Collins,RB,BAL,,2.2,8.2,6.2,5.5,7.4,3.0,16.3,5.6,,17.1,13.7,23.8,24.6,10.2,9.6
00-0032429,Jerell Adams,TE,NYG,,4.8,,,2.1,1.6,,,,,1.6,,,,,7.1
00-0032430,David Morgan,TE,MIN,0.0,,,,,,,5.8,,7.1,1.5,,,,,4.6
00-0032431,Jake Rudock,QB,DET,,,,,,,,,,,,,-1.04,,,
00-0032434,Brandon Allen,QB,LA,,,,,,,,,,,,,,,,
00-0032436,Jeff Driskel,QB,CIN,,,,,,,,,,,,,,,,
00-0032441,Aaron Burbridge,WR,SF,,,,,,,,,,,,,,,,
00-0032447,Devin Lucien,WR,NE,,,,,,,,,,,,,,,,
00-0032450,Dwayne Washington,RB,DET,2.2,0.9,,,,,,2.6,0.1,2.0,,,,,,
00-0032464,Kalif Raymond,WR,NYG,0.0,-2.0,,,,,,,,,2.1,0.0,0.0,0.0,0.0,
00-0032475,Tanner McEvoy,WR,SEA,,,,,-2.0,,,6.3,2.0,,,5.1,,,0.9,
00-0032488,Mose Frazier,WR,CAR,,,,,,,,,,,,,,,,
00-0032508,Hakeem Valles,TE,DET,,,,,,,,,,,,,,,,
00-0032515,Braedon Bowman,TE,SD,,,,,,,,,,,,,,,,
00-0032523,Henry Krieger-Coble,TE,LA,,,,,,,,,,,,,,,,
00-0032540,Tra Carson,RB,CIN,,,,,,,,,,,,,,,,
00-0032543,Alex Erickson,WR,CIN,0.0,10.4,0.0,0.0,1.6,,3.2,-0.6,0.0,2.0,12.2,2.8,0.0,1.9,2.1,0.0
00-0032550,Alonzo Russell,WR,NYG,,,,,,,,,,,,,,,,
00-0032553,Jace Billingsley,WR,DET,,,,,,,,,,,,,,,,
00-0032562,Cole Wick,TE,SF,,,,,,,,,,,,,,,,
00-0032577,D.J. Foster,RB,ARI,,,,,,,,,,,4.6,5.2,4.5,3.3,6.2,5.4
00-0032583,Bryce Williams,TE,ARI,,,,,,,,,,,,,,,,
00-0032593,Brandon Wilds,RB,JAC,,,,,,,,,,,,,,,,
00-0032599,Josh Perkins,TE,PHI,,,,,,,,,,,,,,,,
00-0032602,J.D. McKissic,RB,SEA,,,,19.5,6.6,,5.3,2.2,4.6,8.6,10.3,8.6,8.4,8.5,8.8,
00-0032604,Malachi Jones,WR,CHI,,,,,,,,,,,,,,,,
00-0032606,Kyle Carter,TE,SEA,,,,,,,,,,,,,,,,
00-0032621,Rashawn Scott,WR,MIA,,,,,,,,,,,,,,,,
00-0032625,Brandon Shippen,WR,TEN,,,,,,,,,,,,,,,,
00-0032626,Geronimo Allison,WR,GB,,5.4,18.2,,,1.7,2.4,,,,0.0,,,6.9,6.3,1.9
00-0032630,Joe Callahan,QB,PHI,,,,,,,,,,,,,,,,
00-0032634,David Grinnage,TE,JAC,,,,,,,,,,,,,,,,
00-0032650,Ryan Malleck,TE,PIT,,,,,,,,,,,,,,,,1.3
00-0032658,Josh Woodrum,QB,BAL,,,,,,,,,,,,,,,,
00-0032659,Roger Lewis,WR,NYG,9.4,3.3,1.6,,9.9,2.5,2.2,,1.4,12.3,8.5,5.6,1.9,11.6,11.4,8.0
00-0032661,Ben Braunecker,TE,CHI,,,,,,,,,,,,,,,,
00-0032685,Nelson Spruce,WR,SD,,,,,,,,,,,,,,,,
00-0032688,Robby Anderson,WR,NYJ,6.2,4.8,18.5,8.9,3.6,11.6,12.5,22.5,14.8,18.5,,32.6,19.4,5.7,9.0,10.1
00-0032689,Jason Vander Laan,TE,CAR,,,,,,,,,,,,,,,,
00-0032707,Andy Jones,WR,DET,,,,,,,,,,,,,,,,
00-0032716,Devon Cajuste,TE,CLE,,,,,,,,,,,,,,,,
00-0032724,Bryce Treggs,WR,PHI,,,,,4.8,3.0,3.5,0.2,,,,,,,,
00-0032725,Stephen Anderson,TE,HOU,3.4,,2.4,4.8,8.3,3.7,,2.1,8.4,5.0,3.2,,18.9,3.6,,
00-0032728,Tevin Jones,WR,PIT,,,,,,,,,,,,,,,,
00-0032741,Peyton Barber,RB,TB,,4.7,,0.2,,,,,7.4,-0.2,3.1,12.7,18.3,7.3,7.8,7.5
00-0032745,Alan Cross,TE,TB,,1.6,1.5,,,,,,,,,,2.3,,3.3,
00-0032747,Russell Hansbrough,RB,SD,,,,,,,,,,,,,,,,
00-0032760,Josh Doctson,WR,WAS,,,12.2,4.7,,8.1,6.9,7.1,8.9,7.0,12.1,10.8,11.6,6.4,2.2,14.1
00-0032764,Derrick Henry,RB,TEN,2.5,15.2,7.4,0.7,0.9,21.5,4.4,,11.6,5.2,3.2,9.9,16.9,8.0,4.8,4.1
00-0032765,Michael Thomas,WR,NO,9.5,13.9,21.7,22.9,,4.1,15.2,14.7,14.5,20.7,15.1,10.2,18.0,27.7,24.3,10.6
00-0032775,Demarcus Robinson,WR,KC,,,2.9,,2.6,2.6,11.9,1.5,3.8,,1.7,4.4,3.7,,,
00-0032778,Tajae Sharpe,WR,TEN,,,,,,,,,,,,,,,,
00-0032780,Jordan Howard,RB,CHI,15.6,0.7,31.4,14.3,7.6,18.6,6.5,15.1,,5.4,18.5,3.9,4.3,28.5,10.3,16.4
00-0032782,Wendell Smallwood,RB,PHI,1.9,1.1,9.0,17.9,,,5.9,2.4,2.5,,,,,,,
00-0032784,Kevin Hogan,QB,WAS,,7.22,,2.6,16.76,7.2,,,,,,,,,,
00-0032791,Jakeem Grant,WR,MIA,,0.0,2.2,0.0,0.9,1.4,0.0,0.0,0.0,,-2.0,0.0,0.2,12.2,3.0,21.0
00-0032792,Nate Sudfeld,QB,PHI,,,,,,,,,,,,,,,,
00-0032795,Cody Core,WR,CIN,,,,,,,,,,,,,,,,
00-0032801,Daniel Braverman,WR,KC,,,,,,,,,,,,,,,,
00-0032804,Daniel Lasco,RB,NO,,,,,,,,,,,,,,,,
00-0032813,Elijhaa Penny,RB,ARI,,,,0.1,1.6,,,,,,,,6.4,3.9,4.5,5.8
00-0032832,Marcus Tucker,WR,PIT,,,,,,,,,,,,,,,,
00-0032839,Hunter Sharp,WR,NYG,,,,,,,0.0,,,,,,,,,4.5
00-0032841,Paul Turner,WR,NE,,,,,,,,,,,,,,,,
00-0032864,Alex Ellis,TE,KC,,,,,,,,,,,,,,,,
00-0032881,Tommylee Lewis,WR,NO,7.2,2.6,5.3,1.1,,,0.0,0.0,0.0,,0.0,,1.2,11.0,0.6,0.0
00-0032893,Connor Cook,QB,OAK,,,,,,,,,,,,,,,,
00-0032926,K.J. Brent,WR,IND,,,,,,,,,,,,,,,,
00-0032932,Ryan O'Malley,TE,NYG,,,,,,,,,,,,,,,,
00-0032935,Johnny Holton,WR,OAK,,0.0,,13.4,,,,,11.4,,,7.3,10.9,1.8,,
00-0032937,Max McCaffrey,WR,SF,,,,,1.4,0.0,,,,,,,,,,
00-0032940,DeAndre Washington,RB,OAK,4.2,6.5,7.4,0.4,,1.2,13.0,20.8,2.4,,3.9,7.6,7.6,2.9,3.9,0.9
00-0032950,Carson Wentz,QB,PHI,18.88,24.82,13.24,15.08,27.26,21.38,31.02,17.14,24.76,,20.02,23.98,16.92,27.24,,
00-0032951,Laquon Treadwell,WR,MIN,1.7,6.3,1.2,,,8.1,5.8,3.1,,,3.0,,1.9,4.3,,
00-0032953,Christian Hackenberg,QB,PHI,,,,,,,,,,,,,,,,
00-0032959,Charone Peake,WR,NYJ,,1.3,,,,,,,,,,,,,,
00-0032963,Cayleb Jones,WR,MIN,,,,,,,,,,,,,,,,
00-0032964,Byron Marshall,RB,WAS,,,,,,,,,,,0.2,4.0,8.6,0.0,,
00-0032966,Corey Coleman,WR,BUF,16.3,1.9,,,,,,,,,14.0,9.4,,17.2,2.6,1.3
00-0032972,Devontae Booker,RB,DEN,,,,1.4,,12.0,5.8,14.4,5.0,3.9,14.8,5.3,1.8,5.4,5.9,10.1
00-0032975,Jonathan Williams,RB,NO,,,,,,,,,,,,,,,,
00-0032977,Rashard Higgins,WR,CLE,,16.9,3.0,,2.7,2.3,2.1,2.4,,7.4,,5.0,,,3.0,2.0
00-0032980,Marcus Johnson,WR,SEA,,,,,1.6,2.6,,,,,,,,,,
00-0032986,J.P. Holtz,TE,WAS,,,,,,,,,,,,,,,,
00-0032997,Jake McGee,TE,PIT,,,,,,,,,,,,,,,,
